,truncated_more_than_half_data,poor_performance_subjective_rating,greater_than_50_percent_nonresponse_rate,more_than_75_percent_stop_sucess_rate,less_than_25_percent_stop_sucess_rate,missing_beh_data,missing_more_than_half_the_tasks
s638_DPX,0.0,1.0,0.0,0.0,0.0,0.0,0.0
s586_DPX,0.0,1.0,0.0,0.0,0.0,0.0,0.0
s586_motorSelectiveStop,0.0,1.0,0.0,0.0,0.0,0.0,0.0
s650_ANT,0.0,1.0,0.0,0.0,0.0,0.0,1.0
s650_DPX,0.0,1.0,0.0,0.0,0.0,0.0,1.0
s650_stroop,0.0,1.0,0.0,0.0,0.0,0.0,1.0
s650_twoByTwo,0.0,0.0,1.0,0.0,0.0,0.0,1.0
s650_motorSelectiveStop,0.0,0.0,1.0,1.0,0.0,0.0,1.0
s650_discountFix,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s650_stopSignal,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s650_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s650_CCTHot,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s650_surveyMedley,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s623_DPX,0.0,1.0,0.0,0.0,0.0,0.0,1.0
s623_twoByTwo,0.0,1.0,0.0,0.0,0.0,0.0,1.0
s623_surveyMedley,0.0,1.0,0.0,0.0,0.0,0.0,1.0
s623_stopSignal,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s623_CCTHot,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s623_ANT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s623_discountFix,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s623_motorSelectiveStop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s623_stroop,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s623_WATT,0.0,0.0,0.0,0.0,0.0,0.0,1.0
s608_stroop,0.0,1.0,0.0,0.0,0.0,0.0,0.0
s608_motorSelectiveStop,0.0,0.0,0.0,0.0,1.0,0.0,0.0
s172_WATT,0.0,1.0,0.0,0.0,0.0,0.0,0.0
s635_twoByTwo,0.0,0.0,1.0,0.0,0.0,0.0,0.0
s635_ANT,0.0,0.0,1.0,0.0,0.0,0.0,0.0
s512_stopSignal,0.0,0.0,1.0,1.0,0.0,0.0,0.0
s548_motorSelectiveStop,0.0,0.0,0.0,1.0,0.0,0.0,0.0
s557_motorSelectiveStop,0.0,0.0,0.0,1.0,0.0,0.0,0.0
s574_motorSelectiveStop,0.0,0.0,0.0,0.0,1.0,0.0,0.0
s577_motorSelectiveStop,0.0,0.0,0.0,1.0,0.0,0.0,0.0
s556_stopSignal,0.0,0.0,0.0,1.0,0.0,0.0,0.0
s585_stopSignal,0.0,0.0,0.0,1.0,0.0,0.0,0.0
s061_ANT,0.0,0.0,0.0,0.0,0.0,1.0,0.0
s592_ANT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s592_stopSignal,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s592_twoByTwo,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s592_WATT,0.0,0.0,0.0,0.0,0.0,1.0,1.0
s592_CCTHot,0.0,0.0,0.0,0.0,0.0,1.0,1.0
